,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lavrentiya,RU,65.5833,-171.0,31.44,90,97,9.66,overcast clouds
1,Dwarka,IN,22.2394,68.9678,88.27,68,0,18.61,clear sky
2,Ushuaia,AR,-54.8,-68.3,37.06,75,0,4.61,clear sky
3,Vao,NC,-22.6667,167.4833,74.57,75,100,25.3,overcast clouds
4,Katherine,AU,-14.4667,132.2667,98.92,30,40,16.11,scattered clouds
5,Busselton,AU,-33.65,115.3333,67.59,52,2,5.5,clear sky
6,Atuona,PF,-9.8,-139.0333,79.27,75,100,15.73,overcast clouds
7,Barrow,US,71.2906,-156.7887,18.21,90,76,7.63,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,76.95,69,100,16.69,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,8.05,clear sky
10,Bure,ET,10.7,37.0667,74.91,23,15,0.72,few clouds
11,Yar-Sale,RU,66.8333,70.8333,28.6,81,75,18.79,broken clouds
12,Vanavara,RU,60.34,102.2797,57.63,70,63,13.11,broken clouds
13,Severo-Kurilsk,RU,50.6789,156.125,35.24,80,94,18.1,overcast clouds
14,Cabo Rojo,PR,18.0866,-67.1457,77.68,80,82,6.69,broken clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,44.87,74,0,3.44,clear sky
16,Cherskiy,RU,68.75,161.3,14.0,88,83,5.53,broken clouds
17,Binzhou,CN,37.3667,118.0167,65.62,15,99,10.87,overcast clouds
18,Butaritari,KI,3.0707,172.7902,81.3,80,37,10.13,light rain
19,Pocatello,US,42.8713,-112.4455,40.89,48,15,5.01,few clouds
20,San Patricio,US,28.017,-97.5169,77.09,90,4,13.27,clear sky
21,Slave Lake,CA,55.2834,-114.769,31.98,93,0,2.3,clear sky
22,Necochea,AR,-38.5473,-58.7368,42.55,66,24,7.25,few clouds
23,Leningradskiy,RU,69.3833,178.4167,18.68,89,98,13.29,overcast clouds
24,Korem,ET,12.5058,39.5228,60.15,68,88,6.02,light rain
25,Sao Filipe,CV,14.8961,-24.4956,71.2,70,31,7.31,scattered clouds
26,Dunedin,NZ,-45.8742,170.5036,56.8,81,71,10.0,broken clouds
27,Richards Bay,ZA,-28.783,32.0377,71.46,81,88,12.37,moderate rain
28,Half Moon Bay,US,37.4636,-122.4286,58.33,66,0,14.97,clear sky
29,Badou,TG,7.5833,0.6,73.63,88,100,2.86,overcast clouds
30,Elizabeth City,US,36.2946,-76.2511,53.62,90,57,2.84,broken clouds
31,Baykit,RU,61.67,96.37,42.98,72,74,12.39,broken clouds
32,Broken Hill,AU,-31.95,141.4333,64.11,55,83,8.05,broken clouds
33,Lysa Hora,UA,48.1706,31.1099,52.66,63,11,4.47,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,74.8,86,3,5.97,clear sky
35,Wiarton,CA,44.7407,-81.1332,37.49,80,0,3.44,clear sky
36,Port Elizabeth,ZA,-33.918,25.5701,62.31,70,0,13.8,clear sky
37,Vaini,TO,-21.2,-175.2,75.36,100,100,8.05,light rain
38,Khatanga,RU,71.9667,102.5,15.82,86,99,17.07,overcast clouds
39,Narsaq,GL,60.9167,-46.05,36.25,89,100,2.42,overcast clouds
40,Kavaratti,IN,10.5669,72.642,86.09,73,100,10.78,overcast clouds
41,Hasaki,JP,35.7333,140.8333,59.4,54,14,17.07,few clouds
42,Rabat,MA,33.9911,-6.8401,59.16,71,0,8.05,clear sky
43,Thompson,CA,55.7435,-97.8558,37.56,70,75,3.44,broken clouds
44,Fortuna,US,40.5982,-124.1573,54.93,81,100,0.0,overcast clouds
45,Yeppoon,AU,-23.1333,150.7333,82.18,75,28,13.29,scattered clouds
46,Campbell River,CA,50.0163,-125.2446,49.53,82,100,1.81,overcast clouds
47,Castro,BR,-24.7911,-50.0119,56.8,97,100,7.25,overcast clouds
48,Matara,LK,5.9485,80.5353,90.28,61,72,11.18,broken clouds
49,Kirakira,SB,-10.4544,161.9205,82.78,77,100,2.48,overcast clouds
50,Kahului,US,20.8947,-156.47,75.85,85,99,7.0,overcast clouds
51,Kargasok,RU,59.0556,80.8572,42.62,61,98,8.12,overcast clouds
52,Bluff,NZ,-46.6,168.3333,57.97,81,97,11.25,overcast clouds
53,Tasiilaq,GL,65.6145,-37.6368,29.35,89,76,7.74,broken clouds
54,Ancud,CL,-41.8697,-73.8203,42.62,82,70,1.43,broken clouds
55,Vanimo,PG,-2.6741,141.3028,82.47,78,99,6.17,overcast clouds
56,Provideniya,RU,64.3833,-173.3,32.38,91,100,12.57,overcast clouds
57,Ambon,ID,-3.6954,128.1814,93.34,59,40,5.75,scattered clouds
58,Talnakh,RU,69.4865,88.3972,20.21,88,87,7.92,overcast clouds
59,La Ronge,CA,55.1001,-105.2842,39.45,65,40,2.3,scattered clouds
60,Katobu,ID,-4.9408,122.5276,84.24,71,99,6.69,moderate rain
61,Saposoa,PE,-6.934,-76.7716,69.44,99,98,1.14,overcast clouds
62,Oktyabrskoye,RU,43.0645,44.7417,57.34,87,75,2.24,broken clouds
63,Sohag,EG,26.557,31.6948,88.09,8,24,14.79,few clouds
