City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Dwarka,IN,88.27,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
3,Vao,NC,74.57,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
5,Busselton,AU,67.59,clear sky,-33.65,115.3333,Observatory Guest House
6,Atuona,PF,79.27,overcast clouds,-9.8,-139.0333,Villa Enata
8,Rikitea,PF,76.95,overcast clouds,-23.1203,-134.9692,People ThankYou
10,Bure,ET,74.91,few clouds,10.7,37.0667,Holiday
14,Cabo Rojo,PR,77.68,broken clouds,18.0866,-67.1457,Hotel Perichi's
17,Binzhou,CN,65.62,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
18,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
20,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
24,Korem,ET,60.15,light rain,12.5058,39.5228,Lakomeliza Hotel
25,Sao Filipe,CV,71.2,scattered clouds,14.8961,-24.4956,Hotel Xaguate
27,Richards Bay,ZA,71.46,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
29,Badou,TG,73.63,overcast clouds,7.5833,0.6,Hôtel Abuta
32,Broken Hill,AU,64.11,broken clouds,-31.95,141.4333,Royal Exchange Hotel
34,Arraial Do Cabo,BR,74.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
36,Port Elizabeth,ZA,62.31,clear sky,-33.918,25.5701,39 On Nile Guest House
37,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
40,Kavaratti,IN,86.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
45,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
48,Matara,LK,90.28,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
49,Kirakira,SB,82.78,overcast clouds,-10.4544,161.9205,SanBiz Lodge
50,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
55,Vanimo,PG,82.47,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
57,Ambon,ID,93.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
60,Katobu,ID,84.24,moderate rain,-4.9408,122.5276,La Ode Husein
61,Saposoa,PE,69.44,overcast clouds,-6.934,-76.7716,Hostal Primavera
63,Sohag,EG,88.09,few clouds,26.557,31.6948,Civil Registry - Sohag 1
64,Puerto Ayora,EC,70.9,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Kapaa,US,75.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Hualmay,PE,65.95,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
72,Saint-Joseph,RE,81.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
74,Lazaro Cardenas,MX,75.2,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
75,Duayaw Nkwanta,GH,70.7,broken clouds,7.1724,-2.1028,Royal Land Hotel
76,Chabahar,IR,90.68,few clouds,25.2919,60.643,هتل گدروشیا
