City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaitape,PF,2022-04-20 18:01:26,-16.5167,-151.75,80.17,71,3,5.23
1,Thompson,CA,2022-04-20 18:00:09,55.7435,-97.8558,31.44,85,100,9.62
2,Nanortalik,GL,2022-04-20 18:01:26,60.1432,-45.2371,31.19,58,47,12.46
3,Pulwama,IN,2022-04-20 18:01:27,33.874,74.8996,52.72,86,67,0.74
4,Touros,BR,2022-04-20 18:01:27,-5.1989,-35.4608,85.23,65,92,14.07
5,Burley,US,2022-04-20 17:59:00,42.5357,-113.7928,51.21,36,52,6.76
6,Muriti,TZ,2022-04-20 18:01:27,-1.9833,32.9167,72.84,78,100,10.67
7,Tuktoyaktuk,CA,2022-04-20 18:01:28,69.4541,-133.0374,5.45,97,98,2.66
8,Hobart,AU,2022-04-20 17:57:14,-42.8794,147.3294,49.86,70,40,18.41
9,Luhyny,UA,2022-04-20 18:01:28,51.082,28.4006,43.3,75,100,5.5
10,San Juan,AR,2022-04-20 18:01:29,-31.5375,-68.5364,75.94,36,0,20.2
11,Ostrovnoy,RU,2022-04-20 18:01:29,68.0531,39.5131,31.73,90,86,6.78
12,Faanui,PF,2022-04-20 18:01:30,-16.4833,-151.75,80.19,71,4,5.14
13,Butaritari,KI,2022-04-20 18:00:34,3.0707,172.7902,80.73,81,73,14.61
14,Hermanus,ZA,2022-04-20 18:01:30,-34.4187,19.2345,59.81,80,61,3.11
15,Rikitea,PF,2022-04-20 18:01:31,-23.1203,-134.9692,78.53,70,14,16.11
16,Vaini,TO,2022-04-20 18:00:34,-21.2,-175.2,81.01,72,100,10.09
17,Mataura,NZ,2022-04-20 18:00:38,-46.1927,168.8643,56.48,99,99,5.21
18,Haikou,CN,2022-04-20 18:00:31,20.0458,110.3417,71.46,92,22,5.82
19,Gladstone,AU,2022-04-20 18:01:31,-23.85,151.25,70.79,88,9,5.75
20,Tarko-Sale,RU,2022-04-20 18:01:32,64.9225,77.785,5.92,91,60,16.33
21,Albany,US,2022-04-20 18:01:32,42.6001,-73.9662,50.95,44,13,5.99
22,Lubumbashi,CD,2022-04-20 18:01:33,-11.6609,27.4794,62.87,97,93,3.47
23,Methoni,GR,2022-04-20 18:01:33,36.8197,21.7049,57.06,75,10,4.03
24,Zhangjiakou,CN,2022-04-20 18:01:34,40.81,114.8794,60.89,22,95,6.69
25,Nikolskoye,RU,2022-04-20 18:01:34,59.7035,30.7861,53.49,93,36,8.68
26,Swan River,CA,2022-04-20 18:01:34,52.1058,-101.2676,32.94,100,97,10.2
27,Dikson,RU,2022-04-20 18:01:35,73.5069,80.5464,-4.2,100,89,9.17
28,Punta Arenas,CL,2022-04-20 18:01:35,-53.15,-70.9167,51.12,66,84,21.05
29,Puerto Ayora,EC,2022-04-20 18:01:35,-0.7393,-90.3518,76.73,82,73,8.39
30,Wasilla,US,2022-04-20 18:01:36,61.5814,-149.4394,40.51,36,0,5.75
31,Nuuk,GL,2022-04-20 18:00:39,64.1835,-51.7216,23.61,58,40,18.01
32,Cherskiy,RU,2022-04-20 18:01:36,68.75,161.3,5.4,92,21,4.43
33,Salalah,OM,2022-04-20 18:01:37,17.0151,54.0924,79.66,75,30,5.39
34,Olafsvik,IS,2022-04-20 18:01:37,64.8945,-23.7142,44.6,88,100,15.64
35,Bengkulu,ID,2022-04-20 18:01:38,-3.8004,102.2655,75.7,92,100,8.14
36,Bandar,ID,2022-04-20 18:01:38,2.05,99.75,73.26,97,83,2.44
37,Kruisfontein,ZA,2022-04-20 18:01:38,-34.0033,24.7314,69.89,42,83,2.53
38,Atuona,PF,2022-04-20 18:01:39,-9.8,-139.0333,79.32,71,66,18.16
39,Castro,BR,2022-04-20 18:01:39,-24.7911,-50.0119,73.74,45,15,4.0
40,Isangel,VU,2022-04-20 18:01:39,-19.55,169.2667,77.13,84,22,5.73
